P00,3.658,35
P01,3.082,11
P02,4.008,6
P03,4.919,30
P04,3.108,34
P05,5.532,34
P06,3.687,22
P07,5.637,6
P08,5.114,13
P09,4.917,28
P10,4.613,4
P11,4.486,5
P12,4.339,26
P13,4.993,33
P14,4.033,3
